City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,polyarnyy,69.1989,33.4478,277.24,66,82,9.02,RU,1728840115
1,kharkhorin,47.1975,102.8238,271.17,86,99,3.03,MN,1728840117
2,stanley,54.868,-1.6985,279.55,72,0,0.51,GB,1728840118
3,nurota,40.5614,65.6886,283.94,81,23,0.56,UZ,1728840050
4,edinburgh of the seven seas,-37.0676,-12.3116,287.03,75,90,9.67,SH,1728840120
5,adamstown,-25.066,-130.1015,294.26,81,100,6.13,PN,1728840121
6,puerto ayora,-0.7393,-90.3518,295.12,89,99,2.24,EC,1728840122
7,tingo maria,-9.2895,-76.0088,303.32,54,20,1.54,PE,1728840123
8,ulsteinvik,62.3432,5.8487,280.24,89,100,2.24,NO,1728840124
9,bethel,41.3712,-73.414,290.78,68,0,3.09,US,1728840125
10,kone,-21.0595,164.8658,291.76,83,95,2.05,NC,1728840126
11,port-aux-francais,-49.35,70.2167,277.36,92,100,10.97,TF,1728840127
12,punta arenas,-53.15,-70.9167,286.21,54,75,14.92,CL,1728839893
13,pathein,16.7833,94.7333,298.45,91,75,0.98,MM,1728840130
14,albany,42.6001,-73.9662,280.61,79,100,1.21,US,1728840118
15,enewetak,11.3474,162.3373,300.41,77,100,1.21,MH,1728840132
16,owase,34.0667,136.2,291.73,87,80,2.35,JP,1728840133
17,afaahiti,-17.75,-149.2833,295.84,78,99,6.84,PF,1728840134
18,euclides da cunha,-10.5075,-39.0158,309.03,20,7,5.17,BR,1728840135
19,mizdah,31.4451,12.9801,299.98,42,1,3.88,LY,1728840136
20,yellowknife,62.456,-114.3525,281.16,83,100,11.83,CA,1728840137
21,kiruna,67.8557,20.2251,274.66,93,100,3.6,SE,1728840138
22,codrington,-38.2667,141.9667,283.7,89,55,3.3,AU,1728840140
23,waitangi,-43.9535,-176.5597,281.38,95,100,2.27,NZ,1728840142
24,mayahi,13.9553,7.6712,306.7,27,100,4.19,NE,1728840143
25,invercargill,-46.4,168.35,274.27,93,18,1.9,NZ,1728840144
26,horta,38.5333,-28.6333,294.95,97,75,8.23,PT,1728840145
27,sinhyeon,34.8825,128.6267,294.41,75,75,4.71,KR,1728840147
28,port macquarie,-31.4333,152.9167,287.63,79,100,1.79,AU,1728840148
29,farafangana,-22.8167,47.8333,294.85,69,64,4.54,MG,1728840149
30,shimoda,34.6667,138.95,291.38,80,13,6.5,JP,1728840150
31,ancud,-41.8697,-73.8203,284.71,79,42,3.09,CL,1728840152
32,lihue,21.9789,-159.3672,298.92,73,40,4.63,US,1728840153
33,dudinka,69.4058,86.1778,273.23,99,100,5.97,RU,1728840154
34,tura,25.5198,90.2201,294.79,89,0,1.71,IN,1728840155
35,kayangel,8.0823,134.7173,301.87,72,43,4.3,PW,1728840156
36,korsakov,46.6328,142.7813,271.06,65,68,2.51,RU,1728840157
37,ceerigaabo,10.6162,47.368,293.84,53,41,2.27,SO,1728840159
38,tual,-5.6667,132.75,300.35,84,100,6.92,ID,1728840160
39,port mathurin,-19.6833,63.4167,295.66,72,5,9.98,MU,1728840161
40,nemuro,43.3236,145.575,284.02,64,0,4.39,JP,1728840162
41,labasa,-16.4167,179.3833,296.95,89,99,2.09,FJ,1728840163
42,chibougamau,49.9168,-74.3659,277.94,70,100,3.6,CA,1728840164
43,antalaha,-14.9003,50.2788,294.43,77,30,4.44,MG,1728840165
44,grytviken,-54.2811,-36.5092,273.06,76,24,4.99,GS,1728840166
45,port douglas,-16.4833,145.4667,296.18,81,71,3.05,AU,1728840167
46,gizo,-8.103,156.8419,300.51,79,36,2.63,SB,1728840168
47,atafu village,-8.5421,-172.5159,300.88,75,99,4.42,TK,1728840170
48,ilulissat,69.2167,-51.1,273.16,64,100,4.63,GL,1728840171
49,queenstown,-31.8976,26.8753,297.75,42,4,3.15,ZA,1728840172
50,alesund,62.4723,6.1549,280.24,88,75,6.17,NO,1728840173
51,inari,68.906,27.0288,277.79,83,100,5.46,FI,1728840174
52,berezovyy,51.6667,135.7,276.43,54,100,2.11,RU,1728840175
53,constantia,44.1833,28.65,284.53,62,92,1.78,RO,1728839930
54,sabzevar,36.2126,57.6819,295.12,30,15,2.04,IR,1728840177
55,blackmans bay,-43.0167,147.3167,280.66,83,98,0.45,AU,1728840180
56,bilibino,68.0546,166.4372,261.75,86,100,1.31,RU,1728840181
57,guangzhou,23.1167,113.25,301.0,64,14,2.45,CN,1728840182
58,luena,-11.7833,19.9167,299.28,28,84,3.19,AO,1728840183
59,port elizabeth,-33.918,25.5701,292.31,97,100,6.17,ZA,1728840184
60,dapa,9.7594,126.0531,301.15,79,68,4.12,PH,1728840185
61,puerto natales,-51.7236,-72.4875,287.4,44,40,16.98,CL,1728840186
62,pekanbaru,0.5333,101.45,298.33,100,20,2.57,ID,1728840187
63,aasiaat,68.7098,-52.8699,272.38,69,2,2.65,GL,1728840188
64,olonkinbyen,70.9221,-8.7187,271.63,89,100,9.3,SJ,1728840189
65,bandarbeyla,9.4942,50.8122,300.71,75,24,5.9,SO,1728840190
66,karamay,45.6004,84.8661,287.1,54,100,5.78,CN,1728840191
67,petropavlovsk-kamchatsky,53.0452,158.6483,277.48,87,100,5.0,RU,1728840193
68,puerto colombia,10.9878,-74.9547,306.2,66,67,3.62,CO,1728840194
69,swakopmund,-22.6833,14.5333,287.58,82,62,5.81,NA,1728840195
70,kailua-kona,19.6406,-155.9956,296.13,73,0,2.06,US,1728840196
71,gebeit,21.0667,36.3167,301.74,33,93,5.6,SD,1728840198
72,mount isa,-20.7333,139.5,290.02,94,7,0.0,AU,1728840199
73,morropon,-5.1822,-79.9689,304.05,42,42,2.09,PE,1728840200
74,roosevelt,33.9668,-103.4505,299.43,15,23,3.79,US,1728840201
75,hermanus,-34.4187,19.2345,288.04,83,66,2.56,ZA,1728840202
76,bredasdorp,-34.5322,20.0403,288.0,83,62,5.55,ZA,1728840203
77,whitehorse,60.7161,-135.0538,276.93,85,75,7.2,CA,1728840204
78,nogliki,51.8333,143.1667,273.96,84,14,3.3,RU,1728840205
79,jeju city,33.5097,126.5219,294.11,68,75,2.06,KR,1728840206
80,baruun-urt,46.6806,113.2792,285.0,69,30,8.39,MN,1728840207
81,jamestown,42.097,-79.2353,284.83,100,100,2.57,US,1728840209
82,mangalia,43.8,28.5833,289.5,71,75,3.89,RO,1728840210
83,jaen,38.0,-3.5,297.5,47,84,1.28,ES,1728840211
84,ishigaki,24.3448,124.1572,300.22,83,75,4.12,JP,1728840213
85,souillac,-20.5167,57.5167,296.36,68,75,7.2,MU,1728840214
86,nagqu,31.5,92.0,275.0,29,100,0.87,CN,1728840215
87,geraldton,-28.7667,114.6,291.38,63,100,4.63,AU,1728839976
88,santa quiteria,-4.3319,-40.1567,310.81,21,64,3.83,BR,1728840217
89,belmonte,-15.8631,-38.8828,301.91,62,36,4.1,BR,1728840218
90,nadi,-17.8,177.4167,297.15,88,75,1.03,FJ,1728840220
91,lorengau,-2.0226,147.2712,301.42,76,25,4.5,PG,1728840221
92,fort bragg,35.139,-79.006,299.08,40,0,5.66,US,1728840222
93,klyuchi,52.2667,79.1667,269.43,58,10,2.39,RU,1728840223
94,revda,56.801,59.9303,268.23,88,27,1.32,RU,1728840224
95,lompoc,34.6391,-120.4579,291.22,90,100,2.57,US,1728839945
96,colonia,50.9333,6.95,284.33,78,0,3.6,DE,1728840226
97,kapit,2.0167,112.9333,296.31,99,84,0.23,MY,1728840227
98,howrah,22.5892,88.3103,302.15,79,20,1.54,IN,1728840228
99,artigas,-30.4,-56.4667,298.44,62,1,5.74,UY,1728840073
100,camiri,-20.05,-63.5167,308.03,34,20,2.06,BO,1728840231
101,kodiak,57.79,-152.4072,280.88,87,100,8.23,US,1728840232
102,dunedin,-45.8742,170.5036,277.48,85,8,0.45,NZ,1728840233
103,vorgashor,67.5833,63.95,271.95,93,85,5.54,RU,1728840235
104,faya-largeau,17.9257,19.1043,307.58,10,16,3.27,TD,1728840236
